주변역,장소명
삼성역,강남 MICE 관광특구
봉은사역,강남 MICE 관광특구
동대문,동대문 관광특구
동대문역사문화공원역,동대문 관광특구
신당역,동대문 관광특구
명동역,명동 관광특구
녹사평역,이태원 관광특구
이태원역,이태원 관광특구
잠실역,잠실 관광특구
올림픽공원역,잠실 관광특구
몽촌토성역,잠실 관광특구
한성백제역,잠실 관광특구
동대문역,종로·청계 관광특구
종로3가역,종로·청계 관광특구
종로5가역,종로·청계 관광특구
청계천,종로·청계 관광특구
홍대입구역,홍대 관광특구
경복궁역,경복궁·서촌마을
경복궁,경복궁·서촌마을
서촌마을,경복궁·서촌마을
시청역,광화문·덕수궁
종각역,광화문·덕수궁
덕수궁,광화문·덕수궁
광화문,광화문·덕수궁
안국역,광화문·덕수궁
광화문역,광화문·덕수궁
창덕궁,창덕궁·종묘
종묘,창덕궁·종묘
가산디지털단지역,가산디지털단지역
강남역,강남역
건대입구역,건대입구역
고속터미널역,고속터미널역
교대역,교대역
구로디지털단지역,구로디지털단지역
서울역,서울역
선릉역,선릉역
신도림역,신도림역
신림역,신림역
신촌역,신촌·이대역
이대역,신촌·이대역
역삼역,역삼역
연신내역,연신내역
용산역,용산역
왕십리역,왕십리역
디지털미디어시티역,DMC(디지털미디어시티)
창동역,창동 신경제 중심지
노량진역,노량진
낙산공원,낙산공원·이화마을
이화마을,낙산공원·이화마을
북촌한옥마을,북촌한옥마을
가로수길,가로수길
성수카페거리,성수카페거리
수유리 먹자골목,수유리 먹자골목
쌍문동 맛집거리,쌍문동 맛집거리
압구정로데오거리,압구정로데오거리
여의도,여의도
영등포 타임스퀘어,영등포 타임스퀘어
인사동,인사동·익선동
익선동,인사동·익선동
국립중앙박물관,국립중앙박물관·용산가족공원
용산가족공원,국립중앙박물관·용산가족공원
남산공원,남산공원
뚝섬한강공원,뚝섬한강공원
망원한강공원,망원한강공원
반포한강공원,반포한강공원
북서울꿈의숲,북서울꿈의숲
서울대공원,서울대공원
서울숲공원,서울숲공원
월드컵공원,월드컵공원
이촌한강공원,이촌한강공원
잠실종합운동장,잠실종합운동장
잠실한강공원,잠실한강공원
